Product Name,URL,Price,Flipkart Assured
Samsung Series 7 138cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-series-7-138cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmevhpaehbsvw4y?pid=TVSEVHPA9ZZ5FV5K&srno=s_1_13&otracker=search&otracker1=search&lid=LSTTVSEVHPA9ZZ5FV5KRNI2NO&fm=organic&iid=338d4b02-8932-4bcc-80d2-c1695b44906f.TVSEVHPA9ZZ5FV5K.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,39,999",
Samsung Q70RAK 163cm (65 inch) Ultra HD (4K) QLED Smart TV,/samsung-q70rak-163cm-65-inch-ultra-hd-4k-qled-smart-tv/p/itmfggqbcppkvpqg?pid=TVSFHCBVDUPHHN4Z&srno=s_1_14&otracker=search&otracker1=search&lid=LSTTVSFHCBVDUPHHN4ZPYKT8X&fm=organic&iid=en_%2FXY5u1FOBPsFGFIJEmTywD1bcuA7gqONop8thBzSxXxagBY1ocHUP8yzJUNv1ss1KbVN7e%2FGm1lR41YBro8%2FaA%3D%3D&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,89,999",
Thomson R9 80cm (32 inch) HD Ready LED TV,/thomson-r9-80cm-32-inch-hd-ready-led-tv/p/itmf66gtyxgpskyc?pid=TVSF66GTBYHHZHAM&srno=s_1_15&otracker=search&otracker1=search&lid=LSTTVSF66GTBYHHZHAMTI4CGV&fm=organic&iid=542553d5-433c-481b-8d96-f33f8606856d.TVSF66GTBYHHZHAM.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹7,499",
Samsung Series 8 138cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-series-8-138cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmf5xzy9wh5pdgs?pid=TVSF5XZYHV6DZP7B&srno=s_1_16&otracker=search&otracker1=search&lid=LSTTVSF5XZYHV6DZP7BWVTZS9&fm=organic&iid=285a3d3b-2712-486d-8ace-a8e1552075fe.TVSF5XZYHV6DZP7B.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,10,300",
Samsung Series 5 138cm (55 inch) Full HD LED Smart TV,/samsung-series-5-138cm-55-inch-full-hd-led-smart-tv/p/itmevhpauegrvgyg?pid=TVSEVHPAMEEYMHBP&srno=s_1_17&otracker=search&otracker1=search&lid=LSTTVSEVHPAMEEYMHBP8OXGAE&fm=organic&iid=e496b086-f878-4416-a478-3791a7a7ae02.TVSEVHPAMEEYMHBP.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹88,999",
Samsung Series 7 138cm (55 inch) Ultra HD (4K) Curved LED Smart TV,/samsung-series-7-138cm-55-inch-ultra-hd-4k-curved-led-smart-tv/p/itmevhpavg8vks9v?pid=TVSEVHPAGTHRFXUY&srno=s_1_18&otracker=search&otracker1=search&lid=LSTTVSEVHPAGTHRFXUYSQUEA6&fm=organic&iid=37d02856-14ba-4a48-a082-39c3bd243d9b.TVSEVHPAGTHRFXUY.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹2,06,999",
Samsung Q Series 138cm (55 inch) Ultra HD (4K) Curved QLED Smart TV,/samsung-q-series-138cm-55-inch-ultra-hd-4k-curved-qled-smart-tv/p/itmf5xzyvf4hkhk7?pid=TVSF5XZYNJUZY6XW&srno=s_1_19&otracker=search&otracker1=search&lid=LSTTVSF5XZYNJUZY6XWNKWNTJ&fm=organic&iid=97d950af-d0d6-4336-9936-6eef826f5aee.TVSF5XZYNJUZY6XW.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,25,999",
Samsung 138cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-138cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmehyhezxq2abjv?pid=TVSEHYHEQRGFJYGJ&srno=s_1_20&otracker=search&otracker1=search&lid=LSTTVSEHYHEQRGFJYGJIWZMZV&fm=organic&iid=3f238b05-7453-446f-be18-20aad08ab3ec.TVSEHYHEQRGFJYGJ.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,25,990",
Samsung Series 7 138cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-series-7-138cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmf5xzypgz9geyt?pid=TVSF5XZYZWVFKFXR&srno=s_1_21&otracker=search&otracker1=search&lid=LSTTVSF5XZYZWVFKFXR6XPIP3&fm=organic&iid=44e4d7da-dff5-443f-9431-29a89e5a8673.TVSF5XZYZWVFKFXR.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹79,999",
Samsung Q60RAK 138cm (55 inch) Ultra HD (4K) QLED Smart TV,/samsung-q60rak-138cm-55-inch-ultra-hd-4k-qled-smart-tv/p/itmfggqbp3kvvabs?pid=TVSFGGQBZSTUHAH4&srno=s_1_22&otracker=search&otracker1=search&lid=LSTTVSFGGQBZSTUHAH4JJT1GH&fm=organic&iid=9dd5d7dd-b6a7-4346-aa1b-e2e14aa12c1d.TVSFGGQBZSTUHAH4.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹87,146",
Samsung Q Series 138cm (55 inch) Ultra HD (4K) Curved QLED Smart TV,/samsung-q-series-138cm-55-inch-ultra-hd-4k-curved-qled-smart-tv/p/itmevcncc6gcmhkn?pid=TVSEVCNCEQKVZMVT&srno=s_1_23&otracker=search&otracker1=search&lid=LSTTVSEVCNCEQKVZMVTRDWTIU&fm=organic&iid=fce4d503-7106-444f-a6d5-1a1c1a568b51.TVSEVCNCEQKVZMVT.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,89,999",
Samsung Q80RAK 138cm (55 inch) Ultra HD (4K) QLED Smart TV,/samsung-q80rak-138cm-55-inch-ultra-hd-4k-qled-smart-tv/p/itmfggqbrf6jpyxr?pid=TVSFGGQBY7ZGW4FH&srno=s_1_24&otracker=search&otracker1=search&lid=LSTTVSFGGQBY7ZGW4FH35OTK1&fm=organic&iid=8535b5a3-ba42-4d58-aaa3-45098e213b98.TVSFGGQBY7ZGW4FH.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,35,960",
