Model Name,URL,Price
LG 127cm (50 inch) Ultra HD (4K) LED Smart TV,/lg-127cm-50-inch-ultra-hd-4k-led-smart-tv/p/itmc00d35157c433?pid=TVSFJY52VC5QGQSK&srno=s_1_13&otracker=search&otracker1=search&lid=LSTTVSFJY52VC5QGQSKRX88IC&fm=organic&iid=836100b8-9b53-4ea2-900d-1f43f028e276.TVSFJY52VC5QGQSK.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹50,457"
LG LM63 80cm (32 inch) HD Ready LED Smart TV,/lg-lm63-80cm-32-inch-hd-ready-led-smart-tv/p/itm2d2c8f546c485?pid=TVSFJY52TWAMHJSV&srno=s_1_14&otracker=search&otracker1=search&lid=LSTTVSFJY52TWAMHJSV6YOLTM&fm=organic&iid=4bf2a0a5-fa4e-4020-b573-59e3a9e39c57.TVSFJY52TWAMHJSV.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹18,500"
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV,/lg-139cm-55-inch-ultra-hd-4k-led-smart-tv/p/itm9b6bf8c6c5c87?pid=TVSFJY52BZZVYYEG&srno=s_1_15&otracker=search&otracker1=search&lid=LSTTVSFJY52BZZVYYEGCY0NVU&fm=organic&iid=130a71b3-5e93-4403-ae40-0c0dd6e6d73c.TVSFJY52BZZVYYEG.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹62,181"
LG Led 60cm (24 inch) HD Ready LED TV,/lg-led-60cm-24-inch-hd-ready-tv/p/itmeurm8gnc4ysjy?pid=TVSEURM8JRGYH2PT&srno=s_1_16&otracker=search&otracker1=search&lid=LSTTVSEURM8JRGYH2PTAOH9JR&fm=organic&iid=2880dbee-e0da-4d24-a31a-195d7f4f5796.TVSEURM8JRGYH2PT.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹10,999"
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV 2018 Edition,/lg-139cm-55-inch-ultra-hd-4k-led-smart-tv-2018/p/itmf5zzh5b4cypbg?pid=TVSF5ZZH4CM9HBQG&srno=s_1_17&otracker=search&otracker1=search&lid=LSTTVSF5ZZH4CM9HBQGUYTPNT&fm=organic&iid=3f3ce1b2-7b0d-4708-a5c7-7952a7a02ca4.TVSF5ZZH4CM9HBQG.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹1,04,661"
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV 2018 Edition,/lg-139cm-55-inch-ultra-hd-4k-led-smart-tv-2018/p/itmf6b4g68zggndn?pid=TVSF6B4G7AGUXYAY&srno=s_1_18&otracker=search&otracker1=search&lid=LSTTVSF6B4G7AGUXYAYPHX3CH&fm=organic&iid=e06b8a75-5b77-4de3-bc92-885bf4f78be5.TVSF6B4G7AGUXYAY.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹58,999"
LG 80cm (32 inch) HD Ready LED TV,/lg-80cm-32-inch-hd-ready-led-tv/p/itmfc9b6etptzgbe?pid=TVSFC9B6USK4QAM3&srno=s_1_19&otracker=search&otracker1=search&lid=LSTTVSFC9B6USK4QAM3NTA8LY&fm=organic&iid=9eb82608-b0ab-4f59-99d1-5f50226967c3.TVSFC9B6USK4QAM3.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹13,150"
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV 2019 Edition with Nanocell,/lg-139cm-55-inch-ultra-hd-4k-led-smart-tv-2019-nanocell/p/itmfhbvzgwvyg8qy?pid=TVSFHBVZFZWGFATF&srno=s_1_20&otracker=search&otracker1=search&lid=LSTTVSFHBVZFZWGFATFWN8WTZ&fm=organic&iid=0d562d0d-0c9b-4e0d-b7a9-a699a684a4f9.TVSFHBVZFZWGFATF.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹69,999"
LG 108cm (43 inch) Full HD LED Smart TV,/lg-108cm-43-inch-full-hd-led-smart-tv/p/itmf3xq4bja8gvjg?pid=TVSEURNCW8CXDWS6&srno=s_1_21&otracker=search&otracker1=search&lid=LSTTVSEURNCW8CXDWS65MXKQN&fm=organic&iid=b722198c-7c89-46ce-ac64-fef35fd7c8a6.TVSEURNCW8CXDWS6.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹34,999"
LG 108cm (43 inch) Full HD LED Smart TV 2018 Edition,/lg-108cm-43-inch-full-hd-led-smart-tv-2018/p/itmf6b4gpz42hejf?pid=TVSF6B4G2ZREWM4H&srno=s_1_22&otracker=search&otracker1=search&lid=LSTTVSF6B4G2ZREWM4H3J0SIR&fm=organic&iid=311479d7-ed6e-4c3a-8239-8d316734fe30.TVSF6B4G2ZREWM4H.SEARCH&ssid=ixb01nnr0w0000001572795157295&qH=0e9823883e72a0ba,"₹36,999"
